categorical_accuracy,loss,val_categorical_accuracy,val_loss
0.06493999809026718,0.21680638194084167,0.06960000097751617,0.33588436245918274
0.05573999881744385,0.21011753380298615,0.07000000029802322,0.33312615752220154
0.06177999824285507,0.21309562027454376,0.06599999964237213,0.34270182251930237
0.0649000033736229,0.2028977870941162,0.06949999928474426,0.3245657980442047
0.06762000173330307,0.200450137257576,0.06759999692440033,0.3180171251296997
0.065140001475811,0.19740591943264008,0.0681999996304512,0.3294871151447296
0.06323999911546707,0.19454142451286316,0.06889999657869339,0.3378336727619171
0.07066000252962112,0.18959712982177734,0.06830000132322311,0.3340238034725189
0.06812000274658203,0.18644694983959198,0.06859999895095825,0.33814916014671326
0.06508000195026398,0.17885524034500122,0.06859999895095825,0.3503660261631012
0.06722000241279602,0.17615437507629395,0.06970000267028809,0.33141785860061646
0.06508000195026398,0.17674903571605682,0.06750000268220901,0.33981844782829285
0.06599999964237213,0.17250841856002808,0.06769999861717224,0.3329293429851532
0.05739999935030937,0.17163385450839996,0.06710000336170197,0.34369105100631714
0.0699400007724762,0.16312585771083832,0.06939999759197235,0.3343788981437683
0.06394000351428986,0.16275522112846375,0.06840000301599503,0.3487129211425781
0.06499999761581421,0.15654610097408295,0.06780000030994415,0.35984423756599426
0.06496000289916992,0.15627031028270721,0.06849999725818634,0.3374730944633484
0.07113999873399734,0.14917907118797302,0.06849999725818634,0.34242644906044006
0.06035999953746796,0.14481832087039948,0.06769999861717224,0.3483530879020691
0.06666000187397003,0.1459330916404724,0.06809999793767929,0.3620418310165405
0.062460001558065414,0.14264100790023804,0.06830000132322311,0.35838213562965393
0.06532000005245209,0.14009059965610504,0.0681999996304512,0.3628576695919037
0.06921999901533127,0.13817563652992249,0.0681999996304512,0.3945833146572113
0.06363999843597412,0.13535405695438385,0.06700000166893005,0.3752440810203552
0.06054000183939934,0.1364019364118576,0.06809999793767929,0.3634761571884155
0.06577999889850616,0.1302080601453781,0.06960000097751617,0.3724174201488495
0.06446000188589096,0.1279517263174057,0.06859999895095825,0.3715987503528595
0.06530000269412994,0.12501941621303558,0.06700000166893005,0.38100114464759827
0.06763999909162521,0.12393739074468613,0.06669999659061432,0.3780443072319031
0.06769999861717224,0.11740671843290329,0.06949999928474426,0.40150633454322815
0.06511999666690826,0.11694823950529099,0.06840000301599503,0.3884219527244568
0.06939999759197235,0.11604458838701248,0.06949999928474426,0.403380423784256
0.06072000041604042,0.11181853711605072,0.06729999929666519,0.4057311415672302
0.06272000074386597,0.11360194534063339,0.06830000132322311,0.41343042254447937
0.06949999928474426,0.10641071200370789,0.06769999861717224,0.4252157211303711
0.0711200013756752,0.10583000630140305,0.06759999692440033,0.4174254536628723
0.06218000128865242,0.1091141328215599,0.06949999928474426,0.43410396575927734
0.0723000019788742,0.1043199971318245,0.06629999727010727,0.4327267110347748
0.06363999843597412,0.10361537337303162,0.0681999996304512,0.42043277621269226
0.05451999977231026,0.10204288363456726,0.06769999861717224,0.426803857088089
0.0617000013589859,0.09814421087503433,0.06830000132322311,0.4426913559436798
0.06515999883413315,0.09796525537967682,0.0689999982714653,0.43216440081596375
0.06728000193834305,0.09431298822164536,0.06970000267028809,0.4497634172439575
0.060100000351667404,0.0934227705001831,0.06790000200271606,0.4508304297924042
0.06744000315666199,0.09080174565315247,0.07000000029802322,0.45444098114967346
0.06369999796152115,0.0867343619465828,0.06669999659061432,0.45593544840812683
0.06270000338554382,0.08738178759813309,0.06750000268220901,0.4679863750934601
0.06679999828338623,0.08569920808076859,0.06809999793767929,0.47790810465812683
0.06486000120639801,0.08784184604883194,0.06610000133514404,0.4923204481601715
